"time_arcid","logppt"
145485,0.1911640687
145486,0.0387296877
145487,-0.0426566613
145488,0.2534075071
145489,0.1438264333
145490,0.2117351874
145491,0.0870035749
145492,0.1029647201
145493,0.0351381613
145494,0.2117351874
145495,0.2117351874
145496,0.2117351874
145497,0.1139584732
145498,0.0335102405
145499,0.4742655181
145500,0.2117351874
145501,0.2117351874
145502,0.1822617522
145503,0.1626423667
145504,0.2846034169
145505,0.4742655181
145506,0.2117351874
145507,0.2117351874
145508,-0.0667815434
145509,0.2006970581
145510,0.2988451499
145511,0.2117351874
145512,0.2117351874
145513,-0.0691839027
145514,-0.0696902415
145515,0.178651341
145516,0.2169988183
145517,0.2117351874
145518,-0.0061096145
145519,0.2006970581
145520,0.2462123741
145521,0.0461067387
145522,0.2250999993
145523,0.2006970581
145524,0.2006970581
145525,0.1771982234
145526,0.2087290029
145527,0.2578273093
145528,0.0362005754
145529,0.2006970581
145530,0.2141770752
145531,0.1664780447
145532,0.1371551357
145533,0.0311690049
145534,-0.1227090469
145535,-0.1884518537
145536,0.2534087831
145537,0.0611975166
145538,0.0724297266
145539,-0.0901236325
145540,0.1459091172
145541,0.1113150896
145542,-0.2382856168
145543,-0.2488408098
145544,-0.133957681
145545,-0.2393691674
145546,-0.2443854776
145547,-0.133957681
145548,-0.2027109634
145549,-0.1784931181
145550,-0.133957681
145551,-0.1751582063
145552,-0.127731934
145553,-0.133957681
145554,-0.133957681
145555,-0.133957681
145556,-0.1301294368
145557,-0.0974074343
145558,-0.0574235211
145559,-0.0397522433
145560,-0.1123667941
145561,-0.1120159095
145562,-0.078906531
145563,-0.0539920447
145564,-0.0765098873
145565,-0.0355093101
145566,-0.0473811371
145567,-0.0355093101
145568,-0.0355093101
145569,0.0928118708
145570,-0.0355093101
145571,0.1479565395
145572,0.090954842
145573,0.0928118708
145574,-0.0355093101
145575,0.1228944948
145576,0.1947195162
145577,0.2053595434
145578,0.1143347854
145579,0.1115974574
145580,0.083185003
145581,0.0298916233
145582,-0.0355093101
145583,0.1010970367
145584,0.0675072409
145585,0.1698471181
145586,0.2364122431
145587,0.105318455
145588,0.1055648726
145589,0.2462123741
145590,-0.0355093101
145591,0.2364476917
145592,0.2364476917
145593,0.0676341754
145594,0.0989205305
145595,0.083185003
145596,0.0769840951
145597,0.1145924318
145598,0.2364476917
145599,0.0922896348
145600,0.083185003
145601,0.2462123741
145602,0.0573093345
145603,0.1228944948
145604,0.1569162716
145605,0.2462123741
145606,0.083185003
145607,0.083185003
145608,0.1684185712
145609,0.1252176783
145610,0.0724118175
145611,0.0755147536
145612,0.1847749365
145613,0.0735289753
145614,0.09992565
145615,0.1787118311
145616,0.2462123741
